iter	Passed	Remaining
0	143	143417
1	144	71919
2	144	48070
3	145	36137
4	145	28985
5	146	24210
6	146	20799
7	147	18245
8	147	16261
9	148	14668
10	148	13364
11	149	12277
12	149	11358
13	150	10572
14	150	9889
15	151	9290
16	151	8763
17	152	8293
18	152	7873
19	152	7495
20	153	7153
21	153	6843
22	154	6559
23	154	6303
24	155	6064
25	155	5843
26	156	5637
27	156	5447
28	157	5269
29	157	5104
30	158	4950
31	158	4805
32	159	4669
33	159	4540
34	160	4419
35	160	4305
36	161	4197
37	161	4095
38	162	3997
39	162	3904
40	163	3816
41	163	3733
42	164	3654
43	164	3577
44	165	3504
45	165	3435
46	166	3367
47	166	3303
48	167	3242
49	167	3183
50	168	3129
51	168	3075
52	169	3026
53	169	2976
54	170	2927
55	170	2880
56	171	2835
57	171	2790
58	172	2748
59	172	2707
60	173	2667
61	173	2629
62	174	2591
63	174	2555
64	175	2520
65	175	2486
66	176	2453
67	176	2422
68	177	2391
69	177	2360
70	178	2331
71	178	2303
72	179	2275
73	179	2248
74	180	2221
75	180	2195
76	181	2170
77	181	2146
78	182	2122
79	182	2098
80	182	2075
81	183	2053
82	183	2029
83	184	2009
84	184	1988
85	185	1968
86	185	1949
87	186	1929
88	186	1911
89	187	1892
90	187	1874
91	188	1856
92	188	1839
93	189	1822
94	189	1806
95	190	1789
96	190	1774
97	191	1758
98	191	1742
99	191	1727
100	192	1712
101	192	1698
102	193	1684
103	193	1670
104	194	1656
105	194	1642
106	195	1629
107	195	1616
108	196	1603
109	196	1591
110	197	1578
111	197	1566
112	198	1554
113	198	1542
114	199	1532
115	199	1521
116	200	1509
117	200	1498
118	201	1488
119	201	1477
120	201	1466
121	202	1456
122	202	1445
123	203	1435
124	203	1426
125	204	1416
126	204	1406
127	205	1397
128	205	1388
129	206	1378
130	206	1369
131	206	1361
132	207	1352
133	207	1343
134	208	1335
135	208	1326
136	209	1318
137	209	1310
138	210	1302
139	210	1294
140	211	1286
141	211	1278
142	212	1270
143	212	1263
144	212	1255
145	213	1248
146	214	1242
147	214	1235
148	215	1228
149	215	1221
150	216	1214
151	216	1208
152	217	1201
153	217	1194
154	217	1188
155	218	1181
156	218	1175
157	219	1169
158	219	1163
159	220	1157
160	220	1150
161	221	1144
162	221	1139
163	222	1133
164	222	1127
165	223	1121
166	223	1116
167	224	1110
168	224	1105
169	225	1100
170	225	1095
171	226	1089
172	226	1084
173	227	1079
174	227	1074
175	228	1069
176	229	1068
177	230	1063
178	230	1058
179	231	1053
180	231	1048
181	232	1043
182	232	1038
183	233	1033
184	233	1029
185	234	1024
186	234	1019
187	235	1015
188	235	1010
189	236	1006
190	236	1002
191	237	997
192	237	993
193	238	989
194	238	984
195	239	980
196	239	976
197	240	972
198	240	968
199	241	964
200	241	960
201	242	956
202	242	953
203	243	950
204	244	947
205	244	943
206	245	940
207	245	936
208	246	933
209	247	929
210	247	926
211	248	923
212	248	919
213	249	916
214	250	912
215	250	909
216	251	905
217	251	902
218	251	898
219	252	894
220	252	891
221	253	887
222	253	884
223	254	880
224	254	877
225	255	874
226	255	871
227	256	867
228	256	864
229	257	863
230	258	861
231	259	858
232	259	855
233	260	852
234	261	849
235	261	846
236	262	843
237	262	840
238	263	837
239	263	834
240	264	831
241	264	828
242	265	825
243	265	822
244	266	820
245	266	817
246	267	814
247	267	811
248	267	808
249	268	805
